Código del bien o servicio;Descripción del bien o servicio;Impuesto
4451700000000;Máquinas y aparatos, para la elaboración de tabaco, n.c.p.;13%
4451801010100;Secadores por aire caliente, no eléctricos, para arroz y café;13%
4451801019900;Secadores por aire caliente, no eléctricos, para granos y hortalizas, n.c.p.;13%
4451801020100;Secadores por aire caliente, eléctricos, para arroz y café;13%
4451801029900;Secadores por aire caliente, eléctricos, para granos y hortalizas, n.c.p.;13%
4451899010100;Secadores no eléctricos, para arroz, n.c.p.;13%
4451899019900;Secadores no eléctricos, para productos agrícolas, n.c.p.;13%
4451899020100;Secadores eléctricos, para café, n.c.p.;13%
4451899029900;Secadores eléctricos, para productos agrícolas, n.c.p.;13%
4452201000000;Partes y piezas de máquinas para limpieza, clasificación o selección de semillas, granos, o vegetales leguminosos secos;13%
4452202000000;Partes y piezas de maquinaria utilizada en la industria de la molinería o para la elaboración de cereales o leguminosas secas, excepto la maquinaria agrícola;13%
4452203000000;Partes y piezas de maquinaria n.c.p. para la preparación o fabricación industrial de alimentos o bebidas (incluso grasas o aceites);13%
4452300000000;Partes y piezas, de máquinas para la elaboración de tabaco, n.c.p.;13%
4461101000000;Máquinas para extrudir, estirar, texturar o cortar materia textil sintético o artificial;13%
4461102010000;Cardas para preparación de material textil;13%
4461102990000;Máquinas para la preparación de materia textil, excepto cardas;13%
4461103000000;Máquinas para hilar materia textil;13%
4461104000000;Máquinas para doblar o retorcer materia textil;13%
4461105000000;Máquinas para bobinar (incluidas las  canilleras) o devanar materia textil;13%
4461106000000;Máquinas para máquinas para preparar hilados textiles para usar con telares, con máquinas para hacer tejido de punto y con máquinas similares;13%
4461200000000;Máquinas para tejido (telares);13%
4461300000000;Máquinas para hacer tejido de punto, máquinas para unir con puntadas, máquinas para hacer trencillas, tules, encajes, bordados, pasamanería y mallas o redes y máquinas para hacer mechas;13%
4461400000000;Maquinaria auxiliar para utilizar con máquinas para la extrusión, la preparación, el hilado o el tejido de fibras textiles, con máquinas para hacer tejido de punto o con máquinas similares;13%
4462100000100;Máquinas de coser automáticas, excepto máquinas de coser pliegos y máquinas de coser de uso doméstico;13%
4462100009900;Máquinas de coser, excepto máquinas de coser pliegos y máquinas de coser de uso doméstico, n.c.p.;13%
4462201000000;Máquinas para lavar ropa, con una capacidad superior a los 10 kg de ropa seca;13%
4462202000000;Máquinas para limpiar en seco;13%
4462203000000;Máquinas para secar tejidos o artículos textiles, con una capacidad superior a los 10 kg de ropa seca;13%
4462901000000;"Máquinas y aparatos para la fabricación o acabado del fieltro o tela sin tejer, en pieza o con forma, incluidas las máquinas y aparatos para la fabricación de sombreros de fieltro; hormas para sombrerería";13%
4462902000000;Máquinas y prensas para planchar, incluidas las prensas para fijar;13%
4462903000000;Máquinas para lavar, blanquear o teñir;13%
4462904000000;Máquinas para enrollar, desenrollar, plegar, cortar o dentar telas;13%
4462999000000;Máquinas para la fabricación de textiles y prendas de vestir, n.c.p.;13%
4463001000000;Máquinas y aparatos para la preparación, curtido o trabajo de cuero o piel;13%
4463002000000;Máquinas y aparatos para la fabricación o reparación de calzado;13%
4463099000000;Máquinas para fabricar o reparar artículos de piel o cuero, excepto calzado;13%
4464001000000;Partes y piezas de máquinas para extrudir, estirar, texturar o cortar materia textil sintética o artificial;13%
4464002010100;Guarniciones de cardas;13%
4464002019900;Partes y piezas de máquinas para la preparación de materia textil, excepto las guarniciones  de cardas;13%
4464002990100;Husos y sus aletas, anillos y cursores;13%
4464002999900;"Partes y piezas de maquinas para hilar, doblar o retorcer materia textil y demás máquinas y aparatos para la fabricación de hilados textiles; máquinas para bobinar (incluidas las canilleras) o devanar materia textil y máquinas para la preparación de hilados textiles, n.c.p.";13%
4464003000100;Peines, lizos y cuadros de lizos;13%
4464003000200;Lanzaderas;13%
4464003009900;Partes y accesorios de telares o de sus máquinas o aparatos auxiliares, excepto peines, lizos, cuadros lizos y lanzaderas;13%
4464004000100;Platinas, agujas y demás artículos que participen en la formación de mallas;13%
4464004009900;Partes y piezas de máquinas de tricotar, de coser por cadeneta, de entorchar, de fabricar tul, encaje, bordados, pasamanería, trenzas, redes o de insertar mechones, excepto accesorios utilizados en la formación de mallas;13%
4464005000100;Tinas y componentes para tinas para lavadoras de ropa;13%
4464005000200;Muebles para lavadoras de ropa;13%
4464005009900;Partes y piezas de máquinas para lavar ropa, incluso con dispositivo de secado, excepto las tinas y sus componentes y los muebles;13%
4464006000100;Cámaras de secado;13%
4464006000200;Muebles para máquinas de secado;13%
4464006009900;Partes y piezas para máquinas de secado, excepto las cámaras y los muebles;13%
4464007010000;Partes y piezas de máquinas y aparatos para limpiar, escurrir, planchar, prensar, blanquear, teñir, aprestar, acabar, recubrir o impregnar hilados, telas o manufacturas textiles;13%
4464007020000;Partes y piezas de máquinas para el revestimiento de telas u otros soportes utilizados en la fabricación de cubresuelos, tales como linóleo;13%
4464007030000;Partes y piezas de máquinas para enrollar, desenrollar, plegar, cortar o dentar telas;13%
4464008000100;Agujas para máquinas de coser;13%
4464008000200;Muebles, basamentos y tapas o cubiertas para máquinas de coser, y sus partes;13%
4464008009900;Partes y piezas de máquinas de coser, n.c.p.;13%
4464009000000;Partes y piezas de máquinas y aparatos para la preparación, curtido o trabajo de cuero o piel o para la fabricación o reparación de calzado u otras manufacturas de cuero o piel, excepto las máquinas de coser;13%
4473001000000;Armas largas de caza o tiro deportivo;13%
4473002000000;Armas que emiten descarga eléctrica;13%
4473003000000;Armas de aire comprimido o gas;13%
4473004000000;Pistolas de señales y luces, como insumo para la pesca marina;13%
4473099000000;Revólveres, pistolas, armas de fuego y dispositivos similares, n.c.p.;13%
4474000000100;Señales de humo de emergencia, como insumo para la pesca marina;13%
4474000009900;Bombas, granadas, torpedos, minas, misiles y armamento similar de guerra y sus partes y piezas, cartuchos y otras municiones y proyectiles y sus partes y piezas, incluso tacos para perdigones y cartuchos;13%
4475000000000;Sables, espadas, bayonetas, lanzas y armas similares y sus partes y piezas y sus fundas y vainas;13%
4476000000000;Partes y piezas de armas militares y otras armas;13%
4481101000000;Combinaciones de refrigerador y congelador con puertas exteriores separadas, de uso doméstico;13%
4481102000000;Refrigeradores domésticos;13%
4481103010000;Congeladores horizontales del tipo arcón (cofre), de capacidad inferior o igual a 800 l, de uso doméstico;13%
4481103020000;Congeladores verticales del tipo armario, de capacidad inferior o igual a 900 l, de uso doméstico;13%
4481103990000;Congeladores, de uso doméstico, n.c.p.;13%
4481201000000;Máquinas para secar, de capacidad unitaria inferior o igual a 10 kg de ropa seca;13%
4481202000000;Máquinas para lavar vajilla, de uso doméstico;13%
4481203010000;Máquinas para lavar ropa, totalmente automáticas;13%
4481203020000;Máquinas para lavar ropa, con centrífuga incorporada;13%
4481203990000;Máquinas para lavar ropa, n.c.p.;13%
4481300000000;Mantas eléctricas;13%
4481400000000;Máquinas de coser para uso doméstico;13%
4481501000000;Ventiladores, de uso doméstico;13%
4481502000000;Campanas de ventilación o reciclaje, de uso doméstico;13%
4481601000100;Aspiradoras eléctrica de potencia inferior o igual a 1.500 W y de capacidad del depósito para el polvo inferior o igual a 20 I, de uso doméstico;13%
4481601000200;Aspiradoras eléctrica de potencia inferior o igual a 1.500 W y de capacidad del depósito para el polvo inferior o igual a 20 I, de uso industrial;13%
4481602010100;Batidoras, licuadoras y demás aparatos trituradores y mezcladores de alimentos;13%
4481602010200;Extractoras de jugo de frutos u hortalizas;13%
4481602020000;Enceradoras (lustradoras) de pisos;13%
4481602030000;Trituradoras de desperdicios de cocina;13%
4481602990000;Aparatos electromecánicos con motor eléctrico incorporado, de uso doméstico, n.c.p.;13%
4481603010000;Afeitadoras;13%
4481603020000;Aparatos de depilar, distintos de las afeitadoras;13%
4481603030100;Máquinas para pelar ganado o esquilar;13%
4481603039900;Máquinas para cortar el pelo o esquilar, n.c.p.;13%
4481604010100;Secadores para el cabello;13%
4481604019900;Aparatos electrotérmicos para el cuidado del cabello (rizadores, calientatenacillas), excepto secadores;13%
4481604020000;Aparatos electrotérmicos para secar las manos;13%
4481605000000;Planchas eléctricas;13%
4481606010000;Aparatos para la preparación de café o té;13%
4481606020000;Tostadoras de pan;13%
4481606030000;Vaporizadores y emanadores eléctricos para plaquitas y pastillas repelentes de zancudos y mosquitos;13%
4481606990000;Aparatos electrotérmicos de uso doméstico, n.c.p.;13%
4481701000000;Calentadores eléctricos de agua, instantáneos o de acumulación, y calentadores de inmersión;13%
4481702010000;Radiadores de acumulación;13%
4481702990000;Aparatos eléctricos para calefacción de espacios o suelos, n.c.p.;13%
4481703000000;Hornos de microondas;13%
4481704010000;Hornos, eléctricos;13%
4481704020000;Cocinas eléctricas, incluso con horno;13%
4481704030000;Encimeras o paneles superiores de cocina con elementos de calefacción, eléctricas;13%
4481704040000;Plantillas de mesa y parrillas, eléctricas;13%
4481704990000;Calentadores, n.c.p.;13%
4481800000000;Resistencias eléctricas calentadoras, excepto de carbón;13%
4482101010000;Cocinas portátiles, de combustibles gaseosos o de gas, de hierro o acero;13%
4482101020000;Hornillos o cocinas (excepto portátiles), de combustibles gaseosos o de gas, de hierro o acero;13%
4482101030000;Estufas portátiles, de combustibles gaseosos o de gas, de hierro o acero;13%
4482101990000;Aparatos para cocinar y calientaplatos para uso doméstico, de combustibles gaseosos o de gas, de hierro o acero, n.c.p.;13%
4482102000000;Aparatos para cocinar y calientaplatos para uso doméstico, de combustibles líquidos, de hierro o acero;13%
4482199010000;Anafres, hornillos y cocinas, no eléctricos, de hierro o acero, incluye los que funcionan con carbón, madera o turba, n.c.p.;13%
4482199990000;Aparatos para cocinar y calientaplatos para uso doméstico, no eléctricos, de hierro o acero, incluye los que funcionan con carbón, madera o turba, n.c.p.;13%
4482201000000;Estufas, parrillas, braseros y aparatos domésticos (que no sean aparatos de cocinar y calientaplatos), de combustibles gaseosos o gas, de hierro o acero;13%
4482202000000;Estufas, parrillas, braseros y aparatos domésticos (que no sean aparatos de cocinar y calientaplatos), de combustibles líquidos, de hierro o acero;13%
4482203000000;Estufas, parrillas, braseros y aparatos domésticos (que no sean aparatos de cocinar y calientaplatos), de combustibles sólidos, de hierro o acero;13%
4482299000000;Estufas, parrillas, braseros y aparatos domésticos (que no sean aparatos de cocinar y calientaplatos), de hierro o acero, n.c.p.;13%
4482300000000;Radiadores para calefacción central, de calentamiento no eléctrico, de hierro o acero;13%
4482400000100;Calentadores de aire y distribuidores de aire caliente, de calentamiento a gas, de hierro o acero, para uso agropecuario;13%
4482400009900;Calentadores de aire y distribuidores de aire caliente, de calentamiento no eléctrico, con ventilador o soplador accionado mediante un motor, de hierro o acero, n.c.p.;13%
4482500000000;Calderas de calefacción central para producir agua caliente o vapor de agua a baja presión;13%
4482601000000;Calentadores de agua instantáneos o de acumulación, de gas;13%
4482602000000;Calentadores de agua instantáneos o de acumulación, de canfín;13%
4482603000000;Calentadores de agua instantáneos o de acumulación, solares;13%
4482699000000;Calentadores de agua instantáneos o de acumulación, n.c.p.;13%
4483101000000;Partes y piezas de aspiradoras;13%
4483102000000;Partes y piezas de aparatos electromecánicos con motor eléctrico, de uso doméstico (excepto aspiradoras);13%
4483103000000;Partes y piezas de afeitadoras, máquinas de cortar pelo o esquilar y aparatos para depilar;13%
4483104010000;Partes y piezas de aparatos electrotérmicos para el cuidado del cabello;13%
4483104020000;Partes y piezas de aparatos electrotérmicos para secar las manos;13%
4483104990100;Partes y piezas de tostadores de pan;13%
4483104999900;Partes y piezas de aparatos electrotérmicos, n.c.p.;13%
4483105000000;Partes y piezas de planchas eléctricas;13%
4483106010000;Partes y piezas de calentadores de inmersión;13%
4483106020000;Partes y piezas de hornos microondas;13%
4483106030000;Partes y piezas de hornos y cocinas, excepto hornos de microondas;13%
4483106990000;Partes y piezas de calentadores de agua instantáneos o de acumulación, aparatos eléctricos de calefacción de espacios y aparatos eléctricos de calefacción del suelo, calentadores eléctricos anulares, parrillas y asadores, n.c.p.;13%
4483107000000;Partes y piezas de resistencias eléctricas calentadoras, excepto de carbón;13%
4483200000100;Partes y piezas de cocina, no eléctrica, de hierro o acero;13%
4483200009900;Partes y piezas de hornillos, cocinillas, parrillas, braseros, hornillos de gas, calientaplatos y aparatos domésticos similares, no eléctricos, de hierro o acero;13%
4483300000000;Partes y piezas de calderas de calefacción central para producir agua caliente o vapor de agua a baja presión;13%
4491100000000;Secadores de ropa centrífugos;13%
4491200000000;Secadores para madera, pasta de papel, papel o cartón y para otros materiales, excepto productos agrícolas;13%
4491301000000;Máquinas y aparatos para la fabricación de pasta de materias fibrosas celulósicas;13%
4491302000000;Máquinas y aparatos para la fabricación de papel o cartón;13%
4491303000000;Máquinas y aparatos para el acabado de papel o cartón;13%
4491304000000;Cortadoras de pasta de papel, papel y cartón;13%
4491305000000;Máquinas para la fabricación de sacos (bolsas), bolsitas o sobres, de papel o cartón;13%
4491306000000;Maquinas para la fabricación de cajas, tubos, tambores o recipientes similares, de papel o cartón, excepto por moldeado;13%
4491307000000;Máquinas para moldear artículos de pasta de papel, de papel o cartón;13%
4491399000000;Máquinas para trabajar la pasta de papel, papel o cartón (excepto máquinas para encuadernar), n.c.p.;13%
4491401000000;Máquinas y aparatos para encuadernación, incluidas las máquinas para coser pliegos;13%
4491402010000;Máquinas para componer por procedimiento fotográfico;13%
4491402020000;Máquinas, aparatos y material para componer caracteres por otros procedimientos, incluso con dispositivos para fundir;13%
4491402990000;Máquinas, aparatos y material para preparar o fabricar clises, planchas, cilindros o demás elementos impresores, n.c.p.;13%
4491403010000;Máquinas y aparatos para imprimir, flexográficos;13%
4491403990000;Máquinas impresoras y máquinas auxiliares para la impresión (excepto el tipo de máquinas impresoras offset con alimentación de papel en hojas del tipo utilizado en oficina), n.c.p.;13%
4491501000000;Máquinas de moldear por inyección caucho o materiales plásticos;13%
4491502000000;Extrusoras de caucho o materiales plásticos;13%
4491503000000;Máquinas de moldear por soplado, caucho o materiales plásticos ;13%
4491504000000;Máquinas de moldear en vacío y demás máquinas para termoformado de caucho o materiales de plástico;13%
4491505000000;Máquinas de moldear o recauchutar neumáticos (llantas neumáticas) o moldear o formar cámaras para neumáticos (llantas neumáticas);13%
4491599000000;Máquinas para el trabajo de caucho o materiales plásticos o para la fabricación de productos hechos de estos materiales, n.c.p. ;13%
4491601000000;Cajas de moldes para fundición de metales;13%
4491602000000;Placas de fondo para moldes;13%
4491603000000;Modelos o patrones para moldes;13%
4491604010100;Moldes para moldeo por inyección o compresión de metal o carburos metálicos;13%
4491604019900;Moldes para metal o carburos metálicos, n.c.p.;13%
4491604020000;Moldes para vidrio;13%
4491604030000;Moldes para materia mineral;13%
4491604040100;Moldes para moldeo por inyección o compresión de caucho o plástico;13%
4491604049900;Moldes para caucho o plástico, n.c.p.;13%
4491700000000;Máquinas fotocopiadoras, impresoras y máquinas de fax independientes;13%
4491801000000;"Máquinas y aparatos para la fabricación de semiconductores en forma de monocristales periformes u obleas (""wafers"").";13%
4491802010000;Máquinas y aparatos para la fabricación de dispositivos semiconductores o circuitos electrónicos integrados, que operen mediante láser u otros haces de luz o de fotones;13%
4491802020000;Máquinas (incluidas las prensas) de enrollar, curvar, plegar, enderezar o aplanar dispositivos semiconductores o circuitos electrónicos integrados, de control numérico;13%
4491802990000;Máquinas y aparatos para la fabricación de dispositivos semiconductores o circuitos electrónicos integrados, n.c.p.;13%
4491803000000;"Máquinas y aparatos para la fabricación de dispositivos de visualización ""display"" de pantalla plana";13%
4491804000000;"Máquinas y aparatos para fabricación de máscaras y retículas; ensamblaje de dispositivos semiconductores o de circuitos electrónicos integrados; para manipulación, carga o descarga de semiconductores en forma de monocristales periformes u obleas, dispositivos semiconductores, circuitos electrónicos integrados y dispositivos de visualización de pantalla plana";13%
4491901010100;Aspiradoras, con motor eléctrico de potencia superior a 1.500 W y capacidad de depósito mayor a 20 l, de uso doméstico;13%
4491901010200;Aspiradoras, con motor eléctrico de potencia superior a 1.500 W y capacidad de depósito mayor a 20 l, de uso industrial;13%
4491901990000;Aspiradoras, n.c.p.;13%
4491902000000;Máquinas y aparatos para la separación isotópica, y sus partes;13%
4491903000000;Máquinas para montar lámparas, tubos o válvulas eléctricos o electrónicos o lámparas de destello, que tengan envoltura de vidrio;13%
4491904000000;Máquinas para fabricar o trabajar en caliente el vidrio o sus manufacturas;13%
4491905000000;Máquinas de cordelería o cablería;13%
4491906000000;Robotes industriales, n.c.p.;13%
4491907000000;Aparatos de evaporación para refrigerar el aire;13%
4491908000100;Pasarelas de embarque para pasajeros, de los utilizados en aeropuertos;13%
4491908009900;Pasarelas de embarque para pasajeros, n.c.p.;13%
4491999010000;Máquinas y aparatos para el tratamiento del metal, incluidas las bobinadoras de hilos eléctricos;13%
4491999020100;Máquinas o equipos para laminar y estampar cera de abejas;13%
4491999020200;Mezcladoras de acero inoxidable;13%
4491999029900;Máquinas y aparatos para mezclar, amasar o sobar, quebrantar, triturar, pulverizar, cribar, tamizar, homogeneizar, emulsionar o agitar, n.c.p.;13%
4491999030000;Aparatos criadores de porcinos;13%
4491999040000;Bobinas para extender y recoger mangueras de riego;13%
4491999050000;Máquinas para enrollar, curvar, plegar, enderezar o aplanar los hilos de salida de los semiconductores;13%
4491999990100;Máquinas y aparatos extractores de miel;13%
4491999999900;Máquinas y aparatos mecánicos con función propia, n.c.p.;13%
4492101000000;Partes y piezas de máquinas y aparatos para la fabricación de pasta de materias fibrosas celulósicas o para la fabricación o acabado de papel o cartón;13%
4492199000000;Partes y piezas de máquinas y aparatos para el trabajo de la pasta de papel, del papel o cartón, incluidas las cortadoras de cualquier tipo, n.c.p.;13%
4492201000000;Partes y piezas de máquinas y aparatos para encuadernación, incluidas las máquinas para coser pliegos;13%
4492202010000;Partes y piezas de máquinas para componer por procedimiento fotográfico;13%
4492202020000;Partes y piezas de máquinas, aparatos y material para componer caracteres por otros procedimientos, incluso con dispositivos para fundir;13%
4492202990000;Partes y piezas de máquinas y aparatos para imprimir por medio de planchas, cilindros y demás elementos impresores, n.c.p.;13%
4492299000000;Partes y piezas de impresoras n.c.p., copiadoras y fax, incluso combinados;13%
4492300000000;Partes y piezas para máquinas y aparatos del tipo utilizado exclusiva o principalmente para la fabricación de semiconductores en forma de monocristales u obleas, dispositivos semiconductores, circuitos electrónicos integrados o dispositivos de pantallas planas;13%
4492901010000;Partes y piezas para equipos de encapsulación de caucho o plástico;13%
4492901990000;Partes y piezas de máquinas y aparatos para trabajar caucho o plástico o para fabricar productos de estas materias, n.c.p.;13%
4492902000000;Partes y piezas de máquinas para montar lámparas, tubos o válvulas, eléctricos o electrónicos, o lámparas de destello, que tengan envoltura de vidrio;13%
4492903000000;Partes y piezas de máquinas para fabricar o trabajar en caliente el vidrio o sus manufacturas;13%
4492904000000;"Partes y piezas de máquinas automatizadas para el transporte, la manipulación y el almacenamiento de discos (obleas) semiconductores, casetes de discos (obleas), cajas de discos (obleas) y demás material para dispositivos semiconductores; de aparatos para el crecimiento y estiramiento de los lingotes semiconductores monocristalinos; de rotores para revestir con emulsiones fotográficas los discos (obleas) semiconductores; y de máquinas y aparatos mecánicos con funcion propia, n.c.p.";13%
4511000000000;Máquinas de escribir y máquinas de procesamiento de textos;13%
4513000000000;Calculadoras electrónicas y máquinas de bolsillo registradoras, máquinas reproductoras y visualizadoras de datos, con función de cálculo;13%
4514101000000;Máquinas de contabilidad;13%
4514102010000;Cajas registradoras con conexión directa o diferida con una máquina automática de tratamiento de información;13%
4514102990000;Cajas registradoras, n.c.p.;13%
4514103000000;Máquinas de franquear correspondencia;13%
4514199000000;Máquinas de emitir boletos (tickets) y máquinas similares, con un dispositivo de cálculo incorporado (excepto terminales de punto de venta, cajeros automáticos y máquinas similares);13%
4514201000000;Cajeros automáticos;13%
4514299010000;Máquinas de imprimir direcciones o estampar placas de direcciones, excepto impresoras que utilicen planchas, cilindros y demás elementos impresores;13%
4514299990000;Terminales de punto de venta y máquinas similares, n.c.p.;13%
4515000000000;Maquinas impresoras offset con alimentación de papel en hojas del tipo utilizado en oficinas;13%
4516001000000;Copiadoras, incluidos los mimeógrafos;13%
4516099010000;Máquinas de clasificar, plegar, meter en sobres o colocar en fajas la correspondencia;13%
4516099020000;Máquinas de abrir, cerrar o precintar correspondencia;13%
4516099030000;Máquinas para colocar u obliterar sellos (estampillas);13%
4516099990000;Máquinas de oficina, n.c.p.;13%
4517001000000;Partes, piezas y accesorios de máquinas de escribir  y máquinas de procesamiento de textos;13%
4517002000000;Partes, piezas y accesorios de calculadoras electrónicas y máquinas de bolsillo registradoras, máquinas reproductoras y visualizadoras de datos, con función de cálculo (excepto fundas, cajas de transporte y elementos similares);13%
4518001000000;Partes, piezas y accesorios de máquinas de contabilidad, cajas registradoras, máquinas de franquear correspondencia, máquinas de emitir boletos (tickets) y máquinas similares, con un dispositivo de cálculo incorporado (excepto terminales de punto de venta, cajeros automáticos y máquinas similares);13%
4518002000000;Partes, piezas y accesorios de terminales de punto de venta, cajeros automáticos y máquinas similares;13%
4518099000000;Partes, piezas y accesorios de máquinas de oficina, n.c.p.;13%
4522001000000;Codificadores automáticos, para cajas de banano;13%
4522002000100;Lector de microchips para la identificación electrónica de animales, de uso pecuario;13%
4522002000200;Lector de microchips para la identificación electrónica de animales, de uso acuícola;13%
4522002009900;Lector de microchips para la identificación electrónica de animales, n.c.p.;13%
4522003000000;Computadores portátiles, notebooks y computadores de bolsillo;13%
4522099000000;Máquinas portátiles de procesamiento automático de datos que no pesen más de 10 kg, n.c.p.;13%
4523000000000;Computadoras de escritorio y otras máquinas de procesamiento automático de datos, que contengan en una caja o cobertura común, al menos una unidad de almacenamiento y una unidad de entrada y de salida, estén combinadas o no;13%
4524000000000;Máquinas de procesamiento automático de datos, presentadas en forma de sistemas;13%
4525000000000;Máquinas de procesamiento automático de datos, contengan o no en una caja o cobertura común una o dos de las siguientes unidades: unidades de almacenamiento, unidades de entrada, unidades de salida, n.c.p.;13%
4526100000100;Teclados para computadoras;13%
4526100000200;Mouse para computadoras;13%
4526100000300;Palanca de mando (joysticks);13%
4526100009900;Dispositivos periféricos de entrada, n.c.p.;13%
4526200000000;Escáner, excepto en combinación de impresora, escáner, copiadora y/o fax;13%
4526300000000;Impresoras de inyección de tinta utilizadas con máquinas de procesamiento de datos;13%
4526400000000;Impresoras láser, utilizadas con máquinas de procesamiento de datos;13%
4526500000000;Impresoras utilizadas con máquinas de procesamiento de datos, n.c.p.;13%
4526600000000;Unidades que realizan dos o más de las siguientes funciones: imprimir, escanear, fotocopiar y enviar fax;13%
4526900000000;Dispositivos periféricos de entrada o de salida, n.c.p.;13%
4527100000000;Unidades de almacenamiento de medios fijos;13%
4527200000000;Unidades de almacenamiento de medios extraíbles;13%
4528100000000;Tarjetas de sonido, video, red y tarjetas similares para máquinas de procesamiento automático de datos;13%
4528900000000;Unidades para máquinas de procesamiento automático de datos, n.c.p.;13%
4529000000000;Partes, piezas y accesorios de computadoras portátiles, de escritorio y dispositivos periféricos;13%
4611101000000;Motores y generadores eléctricos de potencia inferior a 37,5 W, excepto grupos electrógenos;13%
4611102000100;Motores y generadores de corriente continua, de potencia inferior a 750W;13%
4611102000200;Motores y generadores de corriente continua, de potencia superior a 750 W pero inferior o igual a 75 kW;13%
4611102000300;Motores y generadores de corriente continua, de potencia superior a 75 kw pero inferior o igual a 375 kw ;13%
4611102000400;Motores y generadores de corriente continua, de potencia superior a 375 kw ;13%
4611201000000;Motores universales de corriente continua, de potencia superior a 37.5 W;13%
4611202000000;Motores de corriente alterna monofásicos;13%
4611203000100;Motores de corriente alterna polifásicos, de potencia inferior o igual a 750 W;13%
4611203000200;Motores de corriente alterna polifásicos, de potencia superior a 750 W, pero inferior o igual a 75 KW;13%
4611203000300;Motores de corriente alterna polifásicos, de potencia superior a 75 KW;13%
4611204000100;Generadores de corriente alterna (alternadores), de potencia inferior o igual a 75 kVA;13%
4611204000200;Generadores de corriente alterna (alternadores), de potencia superior a 75 kVA pero inferior o igual a 375 kVA ;13%
4611204000300;Generadores de corriente alterna (alternadores), de potencia superior a 375 kVA pero inferior o igual a 750 kVA ;13%
4611204000400;Generadores de corriente alterna (alternadores), de potencia superior a 750 kVA ;13%
4611301000100;Grupos electrógenos con motor de émbolo (pistón) de encendido por compresión (motor diésel o semi-diésel), de potencia inferior o igual a 75 KVA;13%
4611301000200;Grupos electrógenos con motor de émbolo (pistón) de encendido por compresión (motor diésel o semi-diésel), de potencia superior a 75 KVA pero inferior o igual a 375 KVA;13%
4611301000300;Grupos electrógenos con motor de émbolo (pistón) de encendido por compresión (motor diésel o semi-diésel), de potencia superior a 375 KVA;13%
4611302000000;Grupos electrógenos con motor de émbolo (pistón) de encendido por chispa (motor de explosión);13%
4611303000000;Convertidores rotativos eléctricos;13%
4611399010000;Grupos electrógenos, de energía eólica;13%
4611399990000;Grupos electrógenos, n.c.p.;13%
4612101000100;Transformadores de dieléctrico líquido, de potencia inferior o igual a 650 KVA;13%
4612101000200;Transformadores de dieléctrico líquido, de potencia superior a 650 KVA pero inferior o igual a 10,000 KVA;13%
4612101000300;Transformadores de dieléctrico líquido, de potencia superior a 10,000 KVA;13%
4612199000100;Transformadores eléctricos, de potencia inferior o igual a 1 KVA, n.c.p.;13%
4612199000200;Transformadores eléctricos, de potencia superior a 1 KVA pero inferior o igual a 16 KVA, n.c.p.;13%
4612199000300;Transformadores eléctricos, de potencia superior a 16 KVA pero inferior o igual a 500 KVA, n.c.p.;13%
4612199000400;Transformadores eléctricos, de potencia superior a 500 KVA, n.c.p.;13%
4612201010000;Resistencias para lámparas o tubos de descarga fluorescentes rectos;13%
4612201020000;Resistencias para lámparas o tubos de descarga fluorescentes circulares o compactos;13%
4612201990000;Resistencias para lámparas o tubos de descarga, n.c.p.;13%
4612202010000;Controles de velocidad para motores eléctricos;13%
4612202020000;Fuente de alimentación ininterrumpida;13%
4612202030100;Surtido para cigarrillo electrónico constituido por: baterías, convertidor (cargador), adaptador USB, boquillas y cartuchos recambiables o recargables impregnados con preparación química de nicotina, o sin impregnar pero presentado con el envase que contiene la preparación con nicotina;13%
4612202039900;Adaptadores de alimentación CA-CD, n.c.p.;13%
4612202040000;Convertidores estáticos destinados a máquinas automáticas para tratamiento de información y sus unidades, y aparatos de telecomunicación;13%
4612202990000;Convertidores estáticos , n.c.p.;13%
4612203000000;Bobinas de reactancia (autoinducción) ;13%
4613100000100;Estatores y rotores para motores, generadores y aparatos eléctricos similares;13%
4613100009900;Partes y piezas de motores, generadores y aparatos eléctricos similares, excepto estatores y rotores;13%
4613200000000;Partes y piezas de transformadores eléctricos, convertidores estáticos y bobinas de inductancia;13%
4621101000000;Fusibles y cortacircuitos de fusible, para voltajes superiores a 1.000 V;13%
4621102000100;Disyuntores para una tensión inferior a 72.500 V;13%
4621102009900;Disyuntores, para voltajes superiores a 1.000 V pero inferior a 72.500 V;13%
4621103000000;Seccionadores e interruptores, para voltajes superiores a 1.000 V;13%
4621104010000;Pararrayos, para voltajes superiores a 1.000 V;13%
4621104020000;Limitadores de tensión, para voltajes superiores a 1.000 V;13%
4621104030000;Supresores de sobretensión transitoria, para voltajes superiores a 1.000 V;13%
4621199000000;Aparatos eléctricos para empalmar o proteger circuitos eléctricos, para hacer conexiones con o en circuitos eléctricos, para voltajes superiores a 1.000 V, n.c.p.;13%
4621201000100;Fusibles para cercas eléctricas, de voltajes no superiores a 1.000 V;13%
4621201000200;Fusible para aeronaves, de voltajes no superiores a 1.000 V ;13%
4621201000300;Fusible para telefonía, de voltajes no superiores a 1.000 V ;13%
4621201000400;Fusible ultrarrápido de láminas de plata, de alta capacidad de ruptura, para voltajes no superiores a 1.000 V ;13%
4621201009900;Fusibles, para voltajes no superiores a 1.000 V, n.c.p.;13%
4621202000000;Cortacircuitos de fusible, para voltajes no superiores a 1.000 V;13%
